Frame ID,QR id,QR 2D,QR 3D
131,15,"(492, 89),(622, 92),(611, 228),(488, 219)","dist: 1.4902972098584906, yaw: -169.86284911523273, pitch: 34.282654520295374, roll: 6.790999792048566"
132,15,"(487, 90),(621, 93),(614, 227),(484, 223)","dist: 1.4810113735288204, yaw: -177.02432805111698, pitch: -3.3201343923132742, roll: 1.2579972670765165"
133,15,"(480, 87),(613, 89),(609, 223),(477, 220)","dist: 1.4775261948462746, yaw: -178.64261544591687, pitch: -2.757006526132402, roll: 0.9833768640746147"
133,17,"(69, 121),(171, 91),(201, 168),(105, 203)","dist: 1.8971690514766928, yaw: -137.24660841529578, pitch: -4.323843600194469, roll: -19.06595935259987"
134,15,"(462, 83),(593, 81),(595, 214),(466, 218)","dist: 1.4651672132068496, yaw: -178.64444999201763, pitch: -7.483848587832907, roll: -1.8579267434958247"
135,15,"(451, 80),(580, 77),(584, 210),(456, 216)","dist: 1.4568805987980298, yaw: -178.2431642945793, pitch: -9.888865226439078, roll: -2.722010693898312"
136,15,"(456, 83),(583, 84),(587, 215),(461, 220)","dist: 1.4564442062584524, yaw: 179.4279781901784, pitch: -12.373758561930206, roll: -1.8366341274014615"
137,15,"(466, 64),(587, 67),(594, 198),(472, 204)","dist: 1.4440070722660248, yaw: 178.8726902856021, pitch: -18.091543617395452, roll: -2.400927965424236"
138,15,"(468, 62),(585, 65),(593, 196),(474, 203)","dist: 1.4412908846262993, yaw: 179.64439677437292, pitch: -20.972015987087737, roll: -2.9955696781830774"
139,15,"(470, 63),(584, 67),(591, 197),(477, 204)","dist: 1.447005013189332, yaw: 179.93743419559837, pitch: -23.54892542703033, roll: -3.1310370047415437"
140,15,"(470, 63),(582, 66),(590, 196),(478, 204)","dist: 1.4475346366194641, yaw: -179.67562184459783, pitch: -24.85177731249671, roll: -3.7854964804617754"
141,15,"(474, 63),(575, 66),(587, 195),(485, 204)","dist: 1.4506181667659395, yaw: 179.90760940203023, pitch: -31.27221001106426, roll: -4.998935898259165"
142,15,"(477, 61),(569, 64),(582, 193),(488, 203)","dist: 1.447845084263382, yaw: -178.7866552907202, pitch: -36.18583769400394, roll: -6.179528861035415"
143,15,"(479, 60),(567, 64),(580, 193),(490, 203)","dist: 1.4429785208228088, yaw: -178.54449988048387, pitch: -38.51209516239751, roll: -6.380741423726201"
144,15,"(492, 59),(565, 63),(582, 190),(507, 203)","dist: 1.4469649569598082, yaw: -177.6371609282405, pitch: -45.4976248185513, roll: -8.955714225125956"
145,15,"(497, 62),(565, 63),(584, 190),(514, 205)","dist: 1.4521099379689444, yaw: -176.3279176944796, pitch: -47.36537085238195, roll: -11.01686264449236"
146,15,"(503, 64),(567, 66),(587, 192),(521, 207)","dist: 1.4561239779231365, yaw: -176.7796070818561, pitch: -48.99886925681091, roll: -11.102158096824944"
146,17,"(54, 115),(153, 100),(176, 169),(84, 199)","dist: 2.030479097462129, yaw: -137.83080336307123, pitch: -4.61971143723544, roll: -14.22742377460245"
147,15,"(504, 65),(565, 67),(587, 191),(523, 207)","dist: 1.4689352300227057, yaw: -176.89288317243015, pitch: -49.82467626333164, roll: -11.7283543610454"
147,17,"(56, 117),(152, 100),(177, 170),(86, 201)","dist: 2.0598615687598865, yaw: 156.4580349369286, pitch: -15.864693724264876, roll: -16.72212078446029"
148,15,"(508, 64),(563, 67),(586, 191),(530, 205)","dist: 1.4719974500918416, yaw: -177.6724759728231, pitch: -52.91688842206112, roll: -11.946545433075109"
148,17,"(56, 121),(147, 98),(182, 165),(91, 204)","dist: 2.0484141282221096, yaw: 157.18904369972543, pitch: -16.65201201006219, roll: -21.45946976179808"
